iter	Passed	Remaining
0	140	140076
1	149	74613
2	157	52487
3	167	41780
4	175	34979
5	185	30787
6	193	27509
7	201	24998
8	209	23096
9	218	21585
10	226	20375
11	234	19278
12	242	18379
13	250	17610
14	257	16924
15	267	16449
16	274	15897
17	283	15473
18	290	15015
19	297	14576
20	307	14328
21	314	13993
22	325	13827
23	334	13598
24	342	13359
25	351	13155
26	359	12954
27	367	12758
28	374	12531
29	383	12402
30	390	12200
31	399	12089
32	407	11939
33	414	11790
34	424	11697
35	432	11578
36	440	11475
37	449	11372
38	455	11227
39	464	11158
40	473	11067
41	480	10969
42	488	10867
43	495	10755
44	503	10690
45	511	10612
46	523	10619
47	532	10557
48	540	10494
49	548	10420
50	555	10328
51	563	10275
52	570	10195
53	578	10141
54	587	10097
55	594	10021
56	603	9982
57	610	9920
58	619	9881
59	627	9825
60	635	9789
61	645	9766
62	653	9719
63	662	9689
64	669	9628
65	677	9586
66	684	9536
67	693	9500
68	701	9458
69	708	9416
70	716	9375
71	724	9338
72	732	9299
73	740	9262
74	747	9218
75	756	9197
76	764	9167
77	771	9121
78	779	9090
79	787	9055
80	795	9023
81	802	8982
82	809	8938
83	819	8931
84	826	8893
85	833	8856
86	841	8835
87	849	8801
88	858	8784
89	869	8790
90	881	8805
91	888	8770
92	898	8766
93	906	8739
94	917	8738
95	928	8745
96	938	8739
97	948	8729
98	962	8761
99	976	8789
100	987	8792
101	1000	8808
102	1010	8797
103	1020	8791
104	1029	8779
105	1041	8782
106	1053	8793
107	1065	8803
108	1078	8816
109	1088	8802
110	1102	8833
111	1117	8860
112	1127	8849
113	1144	8893
114	1156	8903
115	1170	8920
116	1187	8962
117	1202	8988
118	1216	9003
119	1228	9011
120	1247	9060
121	1266	9116
122	1280	9129
123	1293	9139
124	1304	9131
125	1318	9144
126	1329	9142
127	1343	9149
128	1355	9150
129	1364	9134
130	1378	9143
131	1386	9116
132	1413	9216
133	1423	9198
134	1435	9197
135	1444	9175
136	1455	9171
137	1464	9145
138	1492	9241
139	1516	9313
140	1535	9353
141	1545	9339
142	1556	9325
143	1563	9294
144	1574	9281
145	1581	9253
146	1592	9242
147	1600	9215
148	1610	9197
149	1618	9170
150	1625	9141
151	1636	9129
152	1644	9104
153	1655	9092
154	1663	9071
155	1673	9053
156	1681	9026
157	1691	9014
158	1704	9017
159	1718	9021
160	1726	8996
161	1735	8976
162	1743	8951
163	1753	8937
164	1760	8908
165	1769	8891
166	1776	8860
167	1784	8838
168	1794	8824
169	1803	8805
170	1815	8803
171	1823	8779
172	1833	8762
173	1841	8743
174	1853	8737
175	1861	8715
176	1873	8709
177	1882	8692
178	1893	8684
179	1900	8656
180	1913	8658
181	1922	8640
182	1931	8622
183	1938	8598
184	1948	8582
185	1956	8562
186	1965	8544
187	1974	8527
188	1983	8510
189	1996	8510
190	2019	8552
191	2032	8552
192	2043	8543
193	2054	8535
194	2063	8520
195	2071	8497
196	2079	8476
197	2088	8461
198	2097	8441
199	2105	8423
200	2114	8406
201	2126	8398
202	2134	8378
203	2140	8352
204	2149	8336
205	2157	8314
206	2167	8302
207	2175	8282
208	2182	8259
209	2191	8243
210	2198	8220
211	2207	8204
212	2214	8181
213	2223	8165
214	2232	8151
215	2242	8141
216	2250	8121
217	2257	8098
218	2266	8083
219	2275	8066
220	2281	8043
221	2289	8023
222	2298	8007
223	2307	7992
224	2315	7975
225	2322	7955
226	2334	7950
227	2344	7939
228	2352	7920
229	2361	7904
230	2368	7883
231	2374	7861
232	2382	7843
233	2390	7824
234	2397	7804
235	2406	7790
236	2413	7771
237	2423	7757
238	2432	7744
239	2443	7737
240	2451	7721
241	2461	7709
242	2469	7693
243	2476	7673
244	2485	7660
245	2493	7643
246	2504	7633
247	2511	7616
248	2520	7600
249	2529	7588
250	2542	7588
251	2553	7580
252	2564	7570
253	2572	7554
254	2580	7540
255	2589	7525
256	2598	7511
257	2605	7494
258	2613	7478
259	2625	7472
260	2634	7460
261	2646	7454
262	2654	7438
263	2663	7425
264	2672	7411
265	2682	7401
266	2698	7407
267	2715	7415
268	2729	7415
269	2737	7401
270	2748	7393
271	2759	7384
272	2767	7368
273	2776	7355
274	2786	7347
275	2794	7331
276	2804	7320
277	2811	7302
278	2822	7293
279	2830	7279
280	2841	7271
281	2852	7263
282	2865	7259
283	2879	7259
284	2892	7256
285	2907	7257
286	2917	7248
287	2925	7232
288	2933	7218
289	2943	7206
290	2950	7189
291	2961	7181
292	2968	7163
293	2977	7151
294	2985	7133
295	2994	7121
296	3003	7108
297	3011	7093
298	3020	7080
299	3027	7064
300	3038	7055
301	3045	7037
302	3052	7022
303	3060	7006
304	3068	6992
305	3077	6980
306	3084	6963
307	3091	6945
308	3101	6936
309	3109	6921
310	3119	6910
311	3128	6898
312	3138	6888
313	3147	6876
314	3156	6864
315	3163	6847
316	3170	6830
317	3186	6834
318	3197	6826
319	3205	6811
320	3214	6799
321	3222	6786
322	3230	6770
323	3241	6762
324	3249	6749
325	3258	6736
326	3265	6721
327	3274	6708
328	3282	6693
329	3290	6679
330	3299	6669
331	3308	6656
332	3319	6648
333	3327	6635
334	3339	6628
335	3348	6616
336	3358	6606
337	3366	6592
338	3376	6583
339	3384	6570
340	3396	6564
341	3404	6549
342	3417	6545
343	3425	6532
344	3435	6523
345	3444	6510
346	3453	6499
347	3461	6485
348	3472	6477
349	3480	6463
350	3492	6456
351	3499	6443
352	3508	6430
353	3518	6421
354	3525	6406
355	3535	6395
356	3543	6381
357	3553	6372
358	3561	6359
359	3571	6349
360	3580	6337
361	3590	6328
362	3598	6315
363	3605	6299
364	3616	6291
365	3626	6281
366	3636	6272
367	3645	6260
368	3654	6249
369	3662	6236
370	3672	6225
371	3679	6212
372	3688	6200
373	3696	6186
374	3704	6174
375	3712	6161
376	3722	6150
377	3731	6139
378	3738	6124
379	3746	6112
380	3754	6099
381	3761	6084
